"","text","gpt_4o_mini","gpt_5.4_mini","deepseek_v4_flash","deepseek_v4_pro","claude_haiku_4_5"
"1","If you are male, your penis and testicles are two of your sex organs.",0,0,0,0,0
"2","The IUD, the implant, and Depo-Provera are the most effective kinds of birth control.",0,1,0.133333333333333,0.166666666666667,1
"3","Others believe that using the rhythm method and withdrawal method is fine.",0,0.0333333333333333,0.733333333333333,0.666666666666667,0
"4","Each egg waits in the Fallopian tube to be fertilized by a sperm.",0,0,0,0,0
"5","Even though that person is not actually touching your body, talking about sex or your body in this way can be a kind of sexual abuse.",0,0,0,0,0
"6","If you say online that someone is fat or skinny or sexy or ugly or beautiful or handsome, what you have said is really never private once those words are on the Internet.",0,0,0,0.0666666666666667,0
"7","Identical twins begin if a single egg splits into two after it has been fertilized.",0,0,0,0,0
"8","Some websites are not always what they tell you they are.",0,0,0,0,0
"9","In most births, the baby’s head pushes out of the vagina ﬁrst.",0,0,0,0,0
"10","And yet people, both kids and adults, who are HIV pos- itive or who have developed AIDS have been discriminated against.",0,0,0,0,0
"11","The two testicles are soft and squishy and are covered and protected by the scrotum.",0,0.966666666666667,0,0,0
"12","It’s important to know and remember that using any type of birth control can help to prevent a pregnancy and most often it does prevent a pregnancy.",0,0.1,0,0.0333333333333333,0
"13","The uterus is made of strong muscles and is hollow inside.",0,0,0,0,0
"14","They begin to produce testosterone, which causes the male body to grow and change in many new ways.",0,0,0,0,0
"15","To ejaculate means to suddenly release or to let go .",0,1,0.0333333333333333,0.2,0
"16","Syndrome means a group of symptoms or conditions that may accompany an illness or a disease.",0,0,0,0,0
"17","How people feel and think about homo­ sexuality and bi­sexuality has a lot to do with the culture and the times in which they live.",0,0,0,0,0
"18","Contraception means against beginning a pregnancy.",0,0,0,0,0
"19","If just one person sends it on, it can go anywhere on the Internet, to anyone else’s cell phone, tablet, computer — to other kids, to your parent, or even to your teacher or the principal of your school, and even to strangers.",0,0,0,0,0
"20","Sometimes, if a female becomes very sick, she may have her eggs removed by a doctor before she takes medication.",0,0,0,0,0
"21","And it means having respect for yourself and your own decisions.",0,0,0,0,0
"22","When the clitoris is touched and rubbed, a female’s body feels good both outside and inside.",1,1,0.966666666666667,0.533333333333333,0
"23","You may wonder, safe from what?",0,0,0,0,0
"24","And it’s important to know that a person’s daily life — making a home, having friends and fun, working, being in love, being single, being a partner, being married, raising children — is mostly the same whether he or she is straight, gay, bi­sexual, or trans­gender.",0,0,0,0,0
"25","That’s because you can find facts on the Internet about topics such as the real risks of unprotected sexual contact, including pregnancy and the very real risk of being infected by a sexually transmitted disease.",0,1,0.0666666666666667,0.266666666666667,0
"26","And if you read something in a text message, an instant message, or receive an e-mail that worries you in any way, do not reply.",0,0,0,0,0
"27","It could have difﬁculty eating and breathing and growing properly.",0,0,0,0,0
"28","The cervical cap and diaphragm are small rubbery cups that fit inside the vagina and are placed against the cervix before sexual intercourse.",0,1,0.233333333333333,0.366666666666667,0
"29","Saying something mean, or bullying someone, or spreading any kind of gossip, even sexy gossip, about another person, can make that person feel really crummy and can hurt that person’s feelings.",0,0.1,0.0666666666666667,1,0
"30","The vaccine works best before a person has any kind of sexual contact.",0,0,0,0.0333333333333333,0
"31","The fertilized egg is then put into the first female’s uterus so that a pregnancy can begin.",0,0,0,0,0
"32","The scientiﬁc term for a wet dream is nocturnal emission.",0,0,0,0,0
"33","This opening stretches wide when it’s time for a baby to be born.",0,0,0,0,0
"34","Even so, people think that kids should stay away from porn.",0,0.166666666666667,0.0666666666666667,0.866666666666667,0
"35","This new kind of sweating is often one of the ﬁrst signs that puberty is starting.",0,0,0,0,0
"36","Viruses that are trans- mitted by sexual contact, such as HIV and hepatitis B can seep through the tiny pores in the lambskin and cause a person to become infected.",0.9,1,0.2,0.333333333333333,0
"37","Herpes 1 causes blister- like sores to form on or near a person’s lips, mouth, nose, and eyes.",0.0333333333333333,0,0,0,0
"38","To reproduce means to “produce again,” or “make again.” Certain parts of our bodies make it possible for a male and a female, when their bodies have grown up, to reproduce — to make babies.",0,0,0,0,0
"39","It takes only a few minutes to perform a circumcision.",0,0,0,0,0
"40","A female must remember to follow the directions for taking a pill each day for this method to work.",0,0,0.0333333333333333,0.0666666666666667,0
"41","Neighborhood health clinics or family planning clinics are also places to go for information.",0,0,0,0.0333333333333333,0
"42","Whether sexual abuse hurts or feels gentle or even loving, it is always wrong.",0,0,0,0,0
"43","If anyone asks you questions that you do not want to answer, do not answer them, and immediately tell a trusted adult.",0,0,0,0,0
"44","When the penis is touched and rubbed, a male’s body feels good both outside and inside — kind of tingly, kind of warm and nice.",1,1,0.0666666666666667,0.266666666666667,0
"45","Wet dreams occur during sleep when a boy is having a pleasurable, exciting, or sexy dream and ejaculates some semen.",1,1,0,0,0
"46","If a female has abused drugs, consumed alcohol, smoked cigarettes, not eaten healthy foods, or had certain kinds of infections while pregnant, her baby could be born with or develop serious health problems.",0,0,0,0,0
"47","They can be taken by a pregnant female during the ﬁrst nine weeks of a pregnancy and require visits to a doctor’s ofﬁce or a clinic.",0.166666666666667,0.8,0.0666666666666667,0.166666666666667,0
"48","Instead, talk with a responsible and trusted person about what you just saw or read.",0,0,0,0,0
