chapter,page,text
,1,Most kids wonder about and have lots of questions about what will be happening to them as their bodies change and grow during this time.
,1,It’s perfectly normal for kids to be curious about and want to know about their changing and growing bodies.
,1,Most of the changes — but not all — that take place during this time make it possible for humans to make a baby and give birth to a baby.
,1,And making a baby has a lot to do with sex.
,1,"Sex is about a lot of things — bodies, growing up, families, babies, love, ­caring, curiosity, feelings, respect, responsibility, biology, and health."
,1,"There are times when sickness and danger can be a part of sex, too."
,1,Most kids wonder about and have lots of questions about sex.
,1,It’s also perfectly normal to want to know about sex.
,1,"You may wonder why it’s a good idea to learn some facts about bodies, about growing up, about sex, and about sexual health."
,1,"It’s important because these facts can help you stay healthy, take good care of yourself, and make good deci- sions about yourself as you are growing up and for the rest of your life."
,1,"Besides, learning about these things can be fascinating and fun."
1.0,2,What is it .
1.0,2,What is it all about?
1.0,2,These are questions lots of kids wonder about.
1.0,2,"You needn’t feel embarrassed or stupid if you don’t know the answers, because sex is not a simple matter."
1.0,2,"Sex is many things, and people have many differ­ent feelings and opinions about it."
1.0,2,"That’s why there is more than one answer to the question, What is sex?"
1.0,2,One way to ﬁnd out about sex is to ask some­one you know and trust.
1.0,2,"Remember, there are no stupid questions."
1.0,2,Another way to ﬁnd out about sex is to read about it.
1.0,2,"For example, you can look up the meaning of the word sex in the dictionary."
1.0,2,"Here is what one dictionary says under the word sex : Either of the two main groups, female or male, into which living things are placed."
1.0,2,People always want to know the sex of a new baby.
1.0,2,"So it’s no surprise that — even if the parent or parents knew the sex of the baby before birth — the moment a baby is born, someone always seems to shout out, “It’s a !” or “It’s a !”"
2.0,3,"And usually one of the ﬁrst questions kids ask when they hear that a new kid is joining their class is, “Is it a girl or a boy?” When people use the word sex in this way, they are usu- ally talking about what gender someone is — whether a person is female or male, a girl or a boy, a woman or a man."
2.0,3,Gender is another word for whether a person is male or female.
2.0,3,Gender is also about the thoughts and feelings a person has about being a female or about being a male.
2.0,3,"It says, Sexual reproduction."
2.0,3,Sex is also about repro­ duction — making babies.
2.0,3,"To reproduce means to “produce again,” or “make again.” Certain parts of our bodies make it possible for a male and a female, when their bodies have grown up, to reproduce — to make babies."
2.0,3,The parts of our bodies that make this pos- sible are called the reproductive organs.
2.0,3,Our bodies’ organs are the parts of our bodies that have special jobs to perform.
2.0,3,"For example, the heart is the organ whose special job is to pump blood."
2.0,3,"Scientists know that most organs inside our bodies, such as our hearts, our lungs, and our stomachs, are the same whether we are male or female."
2.0,3,One group of organs that is not the same for a female and a male is the reproductive organs.
2.0,3,People also call the reproduc- tive organs the sexual organs or the sex organs.
2.0,3,The female and male sex organs are designed to work in an amazingly inter- esting way.
2.0,3,They are different from each other because they have different jobs to do.
2.0,3,Both males and females have outer sex organs and inner sex organs.
2.0,3,Some are located between our legs and are on the outside of our bodies.
2.0,3,Some are tucked inside our bodies.
2.0,3,"The sex organs on the outside of a person’s body are often called the genitals, and the sex organs on the inside of a person’s body are called the reproductive organs."
3.0,4,"If you are female, your vagina and ovaries are two of your sex organs."
3.0,4,"If you are male, your penis and testicles are two of your sex organs."
3.0,4,"When the word sex is used in this way, people are talking either about the female and male sex organs or about making a new human being — making a baby."
3.0,4,"It says, Sexual desire."
3.0,4,"Sex is also about the desire to be physically close to someone, as close as you can be."
3.0,4,Do you ever really want or crave something?
3.0,4,"That’s desire, like when you really want someone to be your best friend or when you really want choco- late ice cream."
3.0,4,You don’t know why you want these things.
3.0,4,You don’t even think about why you want them.
3.0,4,You just want them.
3.0,4,These are simply feelings of wanting — of desire.
3.0,4,"Sexual desire is different from these desires — different from just wanting chocolate ice cream, or wanting someone to be your best friend, or even wanting to snuggle up to your mom or dad, a friend, a pet, or a stuffed animal."
3.0,4,Sexual desire means you feel attracted to someone in a very strong way .
3.0,4,You want to be as physically close to that person as you can be.
3.0,4,"Even though you may think about that person a lot, sexual desire is mostly the way you feel in your body about that person."
3.0,4,Your body may feel excited or warm or quivery or tingly.
3.0,4,And sometimes these feelings can be very strong.
3.0,5,"For lots of kids, part of sexual desire can be the fun of chasing and teasing or having a crush on someone."
3.0,5,"Often it’s hard to stop thinking about that person, and you may even think you are in love with him or her."
3.0,5,That’s called “having a crush” on someone.
3.0,5,Both girls and boys have crushes.
3.0,5,"They have crushes on people they know, as well as on people they don’t know — like TV stars, movie stars, rock stars, or sports stars."
3.0,5,"Boys and girls have crushes on people of the same sex, as well as on people of the opposite sex, on people who are the same age, older, or younger."
3.0,5,Having a crush on someone is perfectly normal.
3.0,5,The feelings and thoughts you may have about other people and their bodies can make you feel very excited.
3.0,5,Some people call this “feeling sexy.” Some of you are probably noticing the changes in your own bodies and the differences between your body and your friends’ bodies.
3.0,5,Sex can also be about the many new thoughts and feelings you may have about what’s happening to you and your body as you are growing up.
4.0,6,"It says, Sexual intercourse."
4.0,6,Sex also means sexual inter- course.
4.0,6,Some people call sexual intercourse “having sex.” Sexual intercourse happens when two people — a female and a male or two females or two males — feel very sexy and very attracted to each other and want to be very close to each other in a sexual way.
4.0,6,"When a female and a male are so close that the male’s penis goes inside the female’s vagina, the vagina stretches in a way that ﬁts around the penis."
4.0,6,"When this happens, it is possible for a female and a male — once their reproductive organs have grown up — to make a baby."
4.0,6,Most people don’t have ­sexual intercourse only when they want to have a baby.
4.0,6,"Most often, people have sexual ­intercourse because it feels good."
4.0,6,People have sexual inter- course well into old age.
4.0,6,People also call sexual inter- course “making love” or “love- making” because it’s a way of expressing love.
4.0,6,But sexual intercourse is only one way of expressing love.
4.0,6,"Hugging, cuddling, holding hands, kissing, and touching are other ways of expressing love."
4.0,6,"So is just being with someone you like a lot and telling that person, “I love you.”"
4.0,7,There are some things about sex and sexual intercourse that are important to know and remember: • It makes sense to wait to have sexual intercourse until you are old enough and responsible enough to make healthy decisions about sex.
4.0,7,But there are ways that people can help protect themselves from having a baby.
4.0,7,"However, there are ways in which people can help protect themselves from getting or passing on these infections."
4.0,7,So sex is a lot of things .
4.0,7,Sex is the desire to be very close to someone.
4.0,7,Sex is touching the sexual parts of the body.
4.0,7,Sex is intercourse.
4.0,7,Sex is making babies.
4.0,7,And sex is whether you are male or female.
4.0,7,Sometimes people use the word sexuality to talk about sex.
4.0,7,"When people use the word sexuality , they are usually ­talking about everything in our daily lives that makes us sexual human beings — our gender, our sexual feelings, thoughts, and desires, as well as any ­sexual contact, from sexual touching to sexual intercourse."
5.0,8,"A person who is straight is someone who is sexually attracted to people of the opposite sex, or, as some say, the other sex."
5.0,8,Heterosexual is another name for a straight person.
5.0,8,Heteros is the ancient Greek word for other .
5.0,8,"In a straight relationship, two people of opposite sexes — a male and a female — are attracted to, may fall in love with, or may have a sexual relationship with each other."
5.0,8,A person who is gay is someone who is sexually attracted to people of the same sex.
5.0,8,Homosexual is another name for a gay person.
5.0,8,Homos is the ancient Greek word for same .
5.0,8,"In a gay relationship, two people of the same sex — a male and a male, or a female and a female — are attracted to, may fall in love with, and may have a sexual relationship with each other."
5.0,8,A gay relationship between two females is also called a lesbian relationship.
5.0,8,The word lesbian began to be used in the late nineteenth century.
5.0,8,"It refers to the time, about 600 when the great female poet Sappho"
5.0,9,Sappho wrote about friendship and love between women.
5.0,9,The ancient Greeks thought that love between two men was the highest form of love.
5.0,9,"In the ancient Greek city-state of Sparta, in about 1000 it was hoped that male lovers would be in the same army regiment."
5.0,9,"People thought that if a warrior was in the same regi- ment as his lover, he would fight harder in order to impress him."
5.0,9,The Spartan army was one of the most powerful and feared armies in ancient Greece.
5.0,9,A person who is bi­sexual is someone who is sexually attracted to people of the opposite sex and sexually attracted to people of the same sex.
5.0,9,"Someone who is bi­sexual is attracted to, may fall in love with, and may have a sexual relationship with both males and females."
5.0,9,Bi means two and is also the ancient Greek word for two .
5.0,9,"There have been gay and bi­sexual relationships all through history, even before ancient Greece."
5.0,9,How people feel and think about homo­ sexuality and bi­sexuality has a lot to do with the culture and the times in which they live.
5.0,9,"Scientists do not completely understand or agree on why one person is straight, why another person is gay, or why another person is bi­sexual."
5.0,9,"In fact, there may be more than one reason."
5.0,9,"But most scientists believe that being gay, or straight, or bi­sexual is not something you choose — just as you cannot choose what skin color you were born with or whether you were born male or female."
5.0,9,"They believe that a person is born with traits — with the biological makeup — that make him or her develop into a straight person, or gay person, or bi­sexual person."
5.0,9,"Sometimes as kids are growing up, boys become curious about other boys and girls become curious about"
5.0,10,They may even look at and even touch each other’s bodies.
5.0,10,"This is a normal kind of exploring and does not have anything to do with whether a girl or boy is or will be straight, gay, lesbian, or bi­sexual."
5.0,10,"Dreaming about or having a crush on a person of the same sex also does not necessarily mean that a girl or a boy is or will be straight, gay, or lesbian, or bi­sexual."
5.0,10,Many people use the term LGBT.
5.0,10,"These initials — L for lesbian, G for gay, B for bi­sexual, and T for trans­gender — are a way of referring to people who are lesbian, gay, bi­sexual, or trans­gender."
5.0,10,Transgender is a word that has to do with gender.
5.0,10,Trans is the Latin word for across .
5.0,10,Gender is another word for whether a person is a female or a male.
5.0,10,Gender is also about the thoughts and feelings a person has about being a female or about being a male.
5.0,10,"A trans- gender person is someone who crosses from the gender that person was born with to the opposite gender, or as some say, to the other gender."
5.0,10,"This means that a person who was born with a male body, but feels, acts, and knows he is a female — or a person who was born a with a female body, but feels, acts, and knows she is a male — is a trans­gender person."
5.0,10,Some may feel this way all of the time and will feel this way throughout their lives.
5.0,10,Others may feel this way for only a few months or a few years.
5.0,10,And some may feel that sometimes they are one gender and other times they are the other gender.
5.0,10,People who feel this way may change the way they dress or their name to reflect the gender they believe they really are.
5.0,10,"They may also ask to be called “he” instead of “she” or “she” instead of “he.” Transgender people can be straight, or lesbian, or gay, or bi­sexual."
5.0,10,"There are some who dis­ approve of people who are gay, lesbian, bi­sexual, or trans­ gender or call them offensive names, or tease, bully, or even hate them, or not want to be with them, only because a person is lesbian, gay, bi­sexual, or trans­gender."
5.0,10,Some also feel that LGBT people should not
5.0,11,They may feel this way because they think LGBT people are different from them or that gay relationships are wrong.
5.0,11,"These people’s views are based on fears or misinformation, not on facts."
5.0,11,People are often afraid of people they know little or nothing about or who are dif- ferent from them in some ways.
